Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
03-Jan-2023,EQ,119.8,120.5,117.75,119.25,118.5,118.45,119.04,1386.7,95,74419090,8859042586.45,279140
02-Jan-2023,EQ,114.4,119.7,113.75,112.65,119.1,119.25,117.82,1386.7,95,143444095,16899938209.6,481935
30-Dec-2022,EQ,112.9,114.75,112.1,111.75,112.85,112.65,113.48,1386.7,95,56048485,6360199033.4,209598
29-Dec-2022,EQ,109,112,108.85,110,111.65,111.75,110.83,1386.7,95,51751642,5735642386.1,171506
28-Dec-2022,EQ,111.05,112.3,109.7,111.15,110.2,110,110.95,1386.7,95,50660601,5620984092.1,186350
27-Dec-2022,EQ,106.65,111.55,105.85,105,111.3,111.15,109.38,1386.7,95,76033410,8316497757,241759
26-Dec-2022,EQ,102.8,105.55,101.65,102.25,104.95,105,104.39,1386.7,95,33995681,3548856093.4,160626
23-Dec-2022,EQ,106,106.75,101.95,107.65,102.25,102.25,103.97,1386.7,95,46756489,4861179723.65,247994
22-Dec-2022,EQ,110,110.6,106.35,109.4,107.25,107.65,107.78,1386.7,95,39639329,4272289160.15,156763
21-Dec-2022,EQ,111.8,112,108.7,110.95,109.6,109.4,110.33,1386.7,95,32303565,3564029185.2,123288
20-Dec-2022,EQ,111.15,111.5,109,111.8,111,110.95,110.28,1386.7,95,34836506,3841678276.75,124555
19-Dec-2022,EQ,111.05,112.1,110.8,111.05,111.7,111.8,111.48,1386.7,95,17297590,1928331474.4,110179
16-Dec-2022,EQ,110.35,112.1,109.45,110.95,110.8,111.05,110.78,1386.7,95,34736665,3848127933.45,121660
15-Dec-2022,EQ,112.65,113.45,110.7,113.05,110.9,110.95,111.72,1386.7,95,34361613,3838903320.85,179928
14-Dec-2022,EQ,111.6,113.2,111.1,111.2,113.05,113.05,112.43,1386.7,95,38606984,4340715290.6,250142
13-Dec-2022,EQ,112.55,112.85,110.8,111.7,111.25,111.2,111.47,1386.7,95,32264080,3596515740.25,111948
12-Dec-2022,EQ,110.2,112.1,108.7,110.45,111.95,111.7,110.86,1386.7,95,37082389,4110851619.65,134511
09-Dec-2022,EQ,112.8,113.75,109.7,111.85,110.4,110.45,111.58,1386.7,95,35665257,3979539564.25,150422
08-Dec-2022,EQ,111.75,113,110.8,111.2,112,111.85,111.73,1386.7,95,32416724,3621976760.8,138285
07-Dec-2022,EQ,113.4,113.5,110.85,112.95,111.2,111.2,111.93,1386.7,95,39494279,4420597087.65,152182
06-Dec-2022,EQ,115.35,115.35,112.25,115.85,112.95,112.95,113.31,1386.7,95,50581245,5731246025.85,204447
05-Dec-2022,EQ,113.3,116.1,112.65,112,115.45,115.85,114.79,1386.7,95,96441799,11070587626.6,319132
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,harry is working on git,,,,,,,,
